x_1	x_2	xref_1	xref_2	u_1
0.0000	0.0000	8.0000	8.0000	10.0000
0.0255	0.0000	8.0000	8.0000	2.5088
0.0311	0.0008	8.0000	8.0000	10.0000
0.0557	0.0016	8.0000	8.0000	10.0000
0.0800	0.0026	8.0000	8.0000	10.0000
0.1041	0.0037	8.0000	8.0000	10.0000
0.1280	0.0051	8.0000	8.0000	10.0000
0.1517	0.0065	8.0000	8.0000	10.0000
0.1752	0.0081	8.0000	8.0000	10.0000
0.1986	0.0098	8.0000	8.0000	10.0000
0.2219	0.0115	8.0000	8.0000	10.0000
0.2450	0.0134	8.0000	8.0000	10.0000
0.2680	0.0153	8.0000	8.0000	10.0000
0.2909	0.0173	8.0000	8.0000	10.0000
0.3137	0.0194	8.0000	8.0000	10.0000
0.3363	0.0215	8.0000	8.0000	10.0000
0.3589	0.0237	8.0000	8.0000	10.0000
0.3814	0.0260	8.0000	8.0000	10.0000
0.4037	0.0283	8.0000	8.0000	10.0000
0.4260	0.0307	8.0000	8.0000	10.0000
0.4482	0.0331	8.0000	8.0000	10.0000
0.4703	0.0356	8.0000	8.0000	10.0000
0.4924	0.0381	8.0000	8.0000	10.0000
0.5143	0.0407	8.0000	8.0000	10.0000
0.5362	0.0433	8.0000	8.0000	10.0000
0.5580	0.0459	8.0000	8.0000	10.0000
0.5797	0.0487	8.0000	8.0000	10.0000
0.6014	0.0514	8.0000	8.0000	10.0000
0.6229	0.0542	8.0000	8.0000	10.0000
0.6444	0.0570	8.0000	8.0000	10.0000
0.6659	0.0599	8.0000	8.0000	10.0000
0.6873	0.0628	8.0000	8.0000	10.0000
0.7086	0.0657	8.0000	8.0000	10.0000
0.7298	0.0687	8.0000	8.0000	10.0000
0.7510	0.0717	8.0000	8.0000	10.0000
0.7721	0.0747	8.0000	8.0000	10.0000
0.7931	0.0778	8.0000	8.0000	10.0000
0.8141	0.0809	8.0000	8.0000	10.0000
0.8351	0.0841	8.0000	8.0000	10.0000
0.8559	0.0872	8.0000	8.0000	10.0000
0.8767	0.0904	8.0000	8.0000	10.0000
0.8975	0.0937	8.0000	8.0000	10.0000
0.9182	0.0969	8.0000	8.0000	10.0000
0.9389	0.1002	8.0000	8.0000	10.0000
0.9594	0.1035	8.0000	8.0000	10.0000
0.9800	0.1069	8.0000	8.0000	10.0000
1.0005	0.1102	8.0000	8.0000	10.0000
1.0209	0.1136	8.0000	8.0000	10.0000
1.0413	0.1171	8.0000	8.0000	10.0000
1.0616	0.1205	8.0000	8.0000	10.0000
1.0819	0.1240	8.0000	8.0000	10.0000
1.1021	0.1275	8.0000	8.0000	10.0000
1.1223	0.1310	8.0000	8.0000	10.0000
1.1425	0.1345	8.0000	8.0000	10.0000
1.1625	0.1381	8.0000	8.0000	10.0000
1.1826	0.1417	8.0000	8.0000	10.0000
1.2026	0.1453	8.0000	8.0000	10.0000
1.2225	0.1489	8.0000	8.0000	10.0000
1.2424	0.1526	8.0000	8.0000	10.0000
1.2623	0.1563	8.0000	8.0000	10.0000
1.2821	0.1600	8.0000	8.0000	10.0000
1.3018	0.1637	8.0000	8.0000	10.0000
1.3216	0.1674	8.0000	8.0000	10.0000
1.3412	0.1712	8.0000	8.0000	10.0000
1.3609	0.1750	8.0000	8.0000	10.0000
1.3804	0.1788	8.0000	8.0000	10.0000
1.4000	0.1826	8.0000	8.0000	10.0000
1.4195	0.1864	8.0000	8.0000	10.0000
1.4390	0.1903	8.0000	8.0000	10.0000
1.4584	0.1942	8.0000	8.0000	10.0000
1.4778	0.1981	8.0000	8.0000	10.0000
1.4971	0.2020	8.0000	8.0000	10.0000
1.5164	0.2059	8.0000	8.0000	10.0000
1.5357	0.2099	8.0000	8.0000	10.0000
1.5549	0.2138	8.0000	8.0000	10.0000
1.5741	0.2178	8.0000	8.0000	10.0000
1.5932	0.2218	8.0000	8.0000	10.0000
1.6123	0.2258	8.0000	8.0000	10.0000
1.6314	0.2299	8.0000	8.0000	10.0000
1.6504	0.2339	8.0000	8.0000	10.0000
1.6694	0.2380	8.0000	8.0000	10.0000
1.6883	0.2421	8.0000	8.0000	10.0000
1.7073	0.2462	8.0000	8.0000	10.0000
1.7261	0.2503	8.0000	8.0000	10.0000
1.7450	0.2544	8.0000	8.0000	10.0000
1.7638	0.2586	8.0000	8.0000	10.0000
1.7825	0.2627	8.0000	8.0000	10.0000
1.8013	0.2669	8.0000	8.0000	10.0000
1.8200	0.2711	8.0000	8.0000	10.0000
1.8386	0.2753	8.0000	8.0000	10.0000
1.8573	0.2795	8.0000	8.0000	10.0000
1.8759	0.2838	8.0000	8.0000	10.0000
1.8944	0.2880	8.0000	8.0000	10.0000
1.9129	0.2923	8.0000	8.0000	10.0000
1.9314	0.2966	8.0000	8.0000	10.0000
1.9499	0.3009	8.0000	8.0000	10.0000
1.9683	0.3052	8.0000	8.0000	10.0000
1.9867	0.3095	8.0000	8.0000	10.0000
2.0050	0.3138	8.0000	8.0000	10.0000
2.0234	0.3182	8.0000	8.0000	10.0000
2.0417	0.3225	8.0000	8.0000	10.0000
2.0599	0.3269	8.0000	8.0000	10.0000
2.0781	0.3313	8.0000	8.0000	10.0000
2.0963	0.3357	8.0000	8.0000	10.0000
2.1145	0.3401	8.0000	8.0000	10.0000
2.1326	0.3445	8.0000	8.0000	10.0000
2.1507	0.3490	8.0000	8.0000	10.0000
2.1688	0.3534	8.0000	8.0000	10.0000
2.1868	0.3579	8.0000	8.0000	10.0000
2.2048	0.3624	8.0000	8.0000	10.0000
2.2228	0.3668	8.0000	8.0000	10.0000
2.2407	0.3713	8.0000	8.0000	10.0000
2.2586	0.3759	8.0000	8.0000	10.0000
2.2765	0.3804	8.0000	8.0000	10.0000
